,Unnamed: 0,stn,year,mo,da,temp,max,min
268,268,702190,1945,8,16,46.8,50.4,43.3
269,269,702190,1945,8,21,55.4,61.3,52.3
270,270,702190,1945,8,24,50.6,57.4,48.4
271,271,702190,1945,8,26,50.4,53.4,47.3
272,272,702190,1945,8,27,48.8,53.4,45.3
273,273,702190,1945,8,29,50.3,53.4,49.3
274,274,702190,1945,8,30,49.0,53.4,46.4
275,275,702190,1945,9,1,52.5,60.3,47.3
276,276,702190,1945,9,2,52.6,60.3,48.4
277,277,702190,1945,9,6,41.9,48.4,34.3
278,278,702190,1945,9,9,45.3,53.4,39.4
279,279,702190,1945,9,11,45.4,53.4,39.4
280,280,702190,1945,9,12,42.1,50.4,34.3
281,281,702190,1945,9,13,45.0,51.3,40.3
282,282,702190,1945,9,14,42.3,50.4,37.4
283,283,702190,1945,9,15,41.8,51.3,35.4
284,284,702190,1945,9,16,41.9,52.3,33.4
285,285,702190,1945,9,20,51.4,56.3,45.3
286,286,702190,1945,9,21,57.7,63.3,54.3
287,287,702190,1945,9,23,44.1,52.3,35.4
288,288,702190,1945,9,26,50.6,58.3,47.3
289,289,702190,1945,9,28,48.7,55.4,44.4
290,290,702190,1945,10,1,45.0,50.4,40.3
291,291,702190,1945,10,3,46.4,54.3,43.3
292,292,702190,1945,10,5,40.2,45.3,35.4
293,293,702190,1945,10,8,34.5,44.4,29.3
294,294,702190,1945,10,16,33.1,36.3,29.3
295,295,702190,1945,10,17,37.9,39.4,35.4
296,296,702190,1945,11,8,35.3,37.4,33.4
297,297,702190,1945,12,10,6.6,15.4,-4.5
298,298,702190,1945,12,16,33.8,39.4,25.3
299,299,702190,1945,12,17,38.1,40.3,36.3
300,300,702190,1945,12,18,33.7,37.4,29.3
301,301,702190,1945,12,20,35.3,42.4,28.4
302,302,702190,1945,12,21,33.6,40.3,30.4
303,303,702190,1945,4,11,33.3,36.3,30.4
304,304,702190,1945,5,26,43.0,50.4,37.4
